1871/01/07	NA	36	22	73	24	31
1871/01/14	NA	47	19	84	07	03
1871/01/21	NA	10	54	86	63	32
1871/01/28	NA	05	10	40	73	84
1871/02/04	NA	63	68	46	83	57
1871/02/11	NA	59	63	23	87	60
1871/02/18	NA	19	66	50	33	36
1871/02/25	NA	55	19	36	17	63
1871/03/04	NA	08	59	27	20	07
1871/03/11	NA	35	53	88	84	13
1871/03/18	NA	90	61	08	72	58
1871/03/25	NA	35	26	32	62	14
1871/04/01	NA	84	16	65	02	47
1871/04/08	NA	53	01	57	29	13
1871/04/15	NA	56	46	90	75	58
1871/04/22	NA	18	04	08	59	71
1871/04/29	NA	55	78	53	15	70
1871/05/06	NA	72	20	58	17	28
1871/05/13	NA	46	60	55	25	29
1871/05/20	NA	89	51	36	58	44
1871/05/27	NA	30	70	89	39	14
1871/06/03	NA	78	30	70	67	23
1871/06/10	NA	57	28	21	01	88
1871/06/17	NA	47	87	68	62	22
1871/06/24	NA	50	68	48	85	04
1871/07/01	NA	58	24	41	04	27
1871/07/08	NA	14	32	78	30	19
1871/07/15	NA	55	33	48	75	69
1871/07/22	NA	43	35	11	80	15
1871/07/29	NA	18	84	79	88	68
1871/08/05	NA	27	06	23	10	09
1871/08/12	NA	65	36	27	51	32
1871/08/19	NA	83	19	79	05	08
1871/08/26	NA	11	15	69	34	45
1871/09/02	NA	45	86	14	41	12
1871/09/09	NA	15	60	56	01	29
1871/09/16	NA	74	10	22	54	73
1871/09/23	NA	46	37	59	07	06
1871/09/30	NA	45	43	78	25	64
1871/10/07	NA	06	81	15	31	60
1871/10/14	NA	07	33	84	40	18
1871/10/21	NA	45	65	72	34	88
1871/10/28	NA	24	35	28	85	18
1871/11/04	NA	68	20	08	46	73
1871/11/11	NA	20	59	28	63	84
1871/11/18	NA	40	50	86	45	69
1871/11/25	NA	66	18	06	23	34
1871/12/02	NA	56	42	37	13	45
1871/12/09	NA	55	19	78	75	53
1871/12/16	NA	67	60	17	24	57
1871/12/23	NA	10	13	30	22	46
1871/12/30	NA	84	16	01	02	07
1872/01/06	NA	87	54	05	53	64
1872/01/13	NA	17	50	22	67	83
1872/01/20	NA	63	39	13	54	90
1872/01/27	NA	57	75	70	04	11
1872/02/03	NA	68	84	79	51	06
1872/02/10	NA	38	23	79	36	37
1872/02/17	NA	25	50	24	63	59
1872/02/24	NA	55	51	32	38	11
1872/03/02	NA	02	73	36	79	01
1872/03/09	NA	22	54	72	07	08
1872/03/16	NA	27	14	63	08	66
1872/03/23	NA	17	87	28	72	90
1872/03/30	NA	60	87	49	15	33
1872/04/06	NA	51	65	82	17	52
1872/04/13	NA	46	61	64	77	47
1872/04/20	NA	68	13	43	83	85
1872/04/27	NA	73	09	50	86	70
1872/05/04	NA	21	15	80	85	60
1872/05/11	NA	72	05	64	02	12
1872/05/18	NA	02	40	27	08	79
1872/05/25	NA	61	88	41	03	05
1872/06/01	NA	22	09	38	03	26
1872/06/08	NA	10	68	85	84	54
1872/06/15	NA	19	61	33	14	79
1872/06/22	NA	45	34	25	16	77
1872/07/01	NA	27	19	23	61	24
1872/07/06	NA	50	47	63	80	72
1872/07/13	NA	19	83	80	70	71
1872/07/20	NA	29	57	76	69	24
1872/07/27	NA	90	72	09	80	58
